arch	algo	method	proc	object	item	invoke	finish	visibilityPoint	primaryStamp	key
AMD	Treiber	Push	0	x	184	4275745788363	-1	-1	4275745788363	279
AMD	Treiber	Push	0	x	189	4275745788899	-1	-1	4275745788899	284
AMD	Treiber	Pop	0	x	189	4275745789366	-1	-1	-1	306
AMD	Treiber	Push	0	x	190	4275745789950	-1	-1	4275745789950	285
AMD	Treiber	Push	0	x	182	4275745790433	-1	-1	4275745790433	277
AMD	Treiber	Pop	0	x	182	4275745790916	-1	-1	-1	290
AMD	Treiber	Pop	0	x	190	4275745791521	-1	-1	-1	312
AMD	Treiber	Push	0	x	188	4275745792158	-1	-1	4275745792158	283
AMD	Treiber	Pop	0	x	188	4275745792609	-1	-1	-1	291
AMD	Treiber	Pop	0	x	184	4275745793131	-1	-1	-1	318
AMD	Treiber	Pop	0	x	178	4275745793768	-1	-1	-1	296
AMD	Treiber	Pop	0	x	176	4275745794343	-1	-1	-1	297
AMD	Treiber	Pop	0	x	172	4275745794840	-1	-1	-1	289
AMD	Treiber	Pop	0	x	170	4275745795339	-1	-1	-1	302
AMD	Treiber	Pop	0	x	171	4275745795829	-1	-1	-1	324
AMD	Treiber	Pop	0	x	164	4275745796358	-1	-1	-1	303
AMD	Treiber	Pop	0	x	165	4275745796926	-1	-1	-1	295
AMD	Treiber	Pop	0	x	187	4275745797432	-1	-1	-1	330
AMD	Treiber	Pop	0	x	160	4275745797922	-1	-1	-1	308
AMD	Treiber	Pop	0	x	158	4275745798444	-1	-1	-1	301
AMD	Treiber	Pop	0	x	159	4275745798943	-1	-1	-1	309
AMD	Treiber	Pop	0	x	181	4275745799472	-1	-1	-1	314
AMD	Treiber	Pop	0	x	152	4275745799962	-1	-1	-1	307
AMD	Treiber	Pop	0	x	154	4275745800475	-1	-1	-1	315
AMD	Treiber	Pop	0	x	153	4275745800974	-1	-1	-1	320
AMD	Treiber	Pop	0	x	175	4275745801496	-1	-1	-1	336
AMD	Treiber	Pop	0	x	146	4275745801993	-1	-1	-1	321
AMD	Treiber	Pop	0	x	148	4275745802508	-1	-1	-1	313
AMD	Treiber	Pop	0	x	147	4275745803005	-1	-1	-1	342
AMD	Treiber	Pop	0	x	169	4275745803520	-1	-1	-1	326
AMD	Treiber	Pop	0	x	142	4275745804026	-1	-1	-1	319
AMD	Treiber	Pop	0	x	140	4275745804546	-1	-1	-1	327
AMD	Treiber	Pop	0	x	163	4275745805045	-1	-1	-1	332
AMD	Treiber	Pop	0	x	141	4275745805551	-1	-1	-1	348
AMD	Treiber	Pop	0	x	134	4275745806034	-1	-1	-1	325
AMD	Treiber	Pop	0	x	136	4275745806547	-1	-1	-1	333
AMD	Treiber	Pop	0	x	157	4275745807046	-1	-1	-1	354
AMD	Treiber	Pop	0	x	135	4275745807706	-1	-1	-1	338
AMD	Treiber	Pop	0	x	128	4275745808212	-1	-1	-1	331
AMD	Treiber	Pop	0	x	130	4275745808709	-1	-1	-1	339
AMD	Treiber	Pop	0	x	151	4275745809238	-1	-1	-1	344
AMD	Treiber	Pop	0	x	129	4275745809744	-1	-1	-1	360
AMD	Treiber	Pop	0	x	122	4275745810250	-1	-1	-1	337
AMD	Treiber	Pop	0	x	124	4275745810765	-1	-1	-1	345
AMD	Treiber	Pop	0	x	145	4275745811262	-1	-1	-1	366
AMD	Treiber	Pop	0	x	123	4275745812044	-1	-1	-1	343
AMD	Treiber	Pop	0	x	118	4275745812543	-1	-1	-1	351
AMD	Treiber	Pop	0	x	116	4275745813033	-1	-1	-1	350
AMD	Treiber	Pop	0	x	117	4275745813532	-1	-1	-1	372
AMD	Treiber	Pop	0	x	139	4275745814031	-1	-1	-1	356
AMD	Treiber	Pop	0	x	110	4275745814544	-1	-1	-1	357
AMD	Treiber	Pop	0	x	112	4275745815043	-1	-1	-1	349
AMD	Treiber	Pop	0	x	133	4275745815556	-1	-1	-1	362
AMD	Treiber	Pop	0	x	111	4275745816046	-1	-1	-1	355
AMD	Treiber	Pop	0	x	104	4275745816561	-1	-1	-1	363
AMD	Treiber	Pop	0	x	106	4275745817074	-1	-1	-1	361
AMD	Treiber	Pop	0	x	127	4275745817580	-1	-1	-1	368
AMD	Treiber	Pop	0	x	105	4275745818070	-1	-1	-1	378
AMD	Treiber	Pop	0	x	98	4275745818576	-1	-1	-1	369
AMD	Treiber	Pop	0	x	100	4275745819091	-1	-1	-1	367
AMD	Treiber	Pop	0	x	99	4275745819749	-1	-1	-1	375
AMD	Treiber	Pop	0	x	121	4275745820271	-1	-1	-1	374
AMD	Treiber	Pop	0	x	13	4275745820793	-1	-1	-1	381
AMD	Treiber	Pop	0	x	7	4275745821329	-1	-1	-1	380
AMD	Treiber	Pop	0	x	2	4275745821851	-1	-1	-1	373
AMD	Treiber	Pop	0	x	1	4275745822348	-1	-1	-1	379
AMD	Treiber	Push	0	x	6	4275745822831	-1	-1	4275745822831	5
AMD	Treiber	Push	0	x	5	4275745823491	-1	-1	4275745823491	4
AMD	Treiber	Push	0	x	12	4275745824036	-1	-1	4275745824036	11
AMD	Treiber	Push	0	x	11	4275745824572	-1	-1	4275745824572	10
AMD	Treiber	Push	0	x	18	4275745825009	-1	-1	4275745825009	17
AMD	Treiber	Push	0	x	17	4275745825462	-1	-1	4275745825462	16
AMD	Treiber	Push	0	x	24	4275745825936	-1	-1	4275745825936	23
AMD	Treiber	Push	0	x	23	4275745826373	-1	-1	4275745826373	22
AMD	Treiber	Push	0	x	30	4275745826833	-1	-1	4275745826833	29
AMD	Treiber	Push	0	x	29	4275745827279	-1	-1	4275745827279	28
AMD	Treiber	Push	0	x	36	4275745827723	-1	-1	4275745827723	35
AMD	Treiber	Push	0	x	35	4275745828167	-1	-1	4275745828167	34
AMD	Treiber	Push	0	x	42	4275745828636	-1	-1	4275745828636	41
AMD	Treiber	Push	0	x	41	4275745829087	-1	-1	4275745829087	40
AMD	Treiber	Push	0	x	48	4275745829662	-1	-1	4275745829662	47
AMD	Treiber	Push	0	x	47	4275745830108	-1	-1	4275745830108	46
AMD	Treiber	Push	0	x	54	4275745830736	-1	-1	4275745830736	53
AMD	Treiber	Push	0	x	53	4275745831196	-1	-1	4275745831196	52
AMD	Treiber	Push	0	x	60	4275745831640	-1	-1	4275745831640	59
AMD	Treiber	Push	0	x	59	4275745832086	-1	-1	4275745832086	58
AMD	Treiber	Push	0	x	66	4275745832537	-1	-1	4275745832537	65
AMD	Treiber	Push	0	x	65	4275745832997	-1	-1	4275745832997	64
AMD	Treiber	Push	0	x	72	4275745833450	-1	-1	4275745833450	71
AMD	Treiber	Push	0	x	71	4275745833910	-1	-1	4275745833910	70
AMD	Treiber	Push	0	x	78	4275745834354	-1	-1	4275745834354	77
AMD	Treiber	Push	0	x	77	4275745834800	-1	-1	4275745834800	76
AMD	Treiber	Push	0	x	84	4275745835251	-1	-1	4275745835251	83
AMD	Treiber	Push	0	x	83	4275745835711	-1	-1	4275745835711	82
AMD	Treiber	Push	0	x	90	4275745836164	-1	-1	4275745836164	89
AMD	Treiber	Push	0	x	89	4275745836617	-1	-1	4275745836617	88
AMD	Treiber	Push	0	x	96	4275745837077	-1	-1	4275745837077	95
AMD	Treiber	Push	0	x	95	4275745837521	-1	-1	4275745837521	94
AMD	Treiber	Pop	0	x	95	4275745837974	-1	-1	-1	101
AMD	Treiber	Pop	0	x	96	4275745838602	-1	-1	-1	100
AMD	Treiber	Pop	0	x	89	4275745839115	-1	-1	-1	107
AMD	Treiber	Pop	0	x	90	4275745839637	-1	-1	-1	106
AMD	Treiber	Pop	0	x	83	4275745840136	-1	-1	-1	113
AMD	Treiber	Pop	0	x	84	4275745840633	-1	-1	-1	112
AMD	Treiber	Pop	0	x	77	4275745841132	-1	-1	-1	119
AMD	Treiber	Pop	0	x	78	4275745841638	-1	-1	-1	118
AMD	Treiber	Pop	0	x	71	4275745842137	-1	-1	-1	125
AMD	Treiber	Pop	0	x	72	4275745842627	-1	-1	-1	124
AMD	Treiber	Pop	0	x	65	4275745843117	-1	-1	-1	131
AMD	Treiber	Pop	0	x	66	4275745843639	-1	-1	-1	130
AMD	Treiber	Pop	0	x	59	4275745844138	-1	-1	-1	137
AMD	Treiber	Pop	0	x	60	4275745844628	-1	-1	-1	136
AMD	Treiber	Pop	0	x	53	4275745845141	-1	-1	-1	143
AMD	Treiber	Pop	0	x	54	4275745845640	-1	-1	-1	142
AMD	Treiber	Pop	0	x	47	4275745846162	-1	-1	-1	149
AMD	Treiber	Pop	0	x	48	4275745846659	-1	-1	-1	148
AMD	Treiber	Pop	0	x	41	4275745847303	-1	-1	-1	155
AMD	Treiber	Pop	0	x	42	4275745847818	-1	-1	-1	154
