arch	algo	method	proc	object	item	invoke	finish	visibilityPoint	primaryStamp	key
AMD	Treiber	Pop	0	x	153	4275739858786	-1	-1	-1	336
AMD	Treiber	Pop	3	x	148	4275739859506	-1	-1	-1	321
AMD	Treiber	Pop	1	x	146	4275739859768	-1	-1	-1	313
AMD	Treiber	Pop	0	x	169	4275739860534	-1	-1	-1	342
AMD	Treiber	Pop	2	x	147	4275739860695	-1	-1	-1	326
AMD	Treiber	Pop	1	x	140	4275739861277	-1	-1	-1	319
AMD	Treiber	Pop	3	x	142	4275739861539	-1	-1	-1	327
AMD	Treiber	Pop	2	x	163	4275739862243	-1	-1	-1	332
AMD	Treiber	Pop	0	x	141	4275739862505	-1	-1	-1	348
AMD	Treiber	Pop	1	x	136	4275739863034	-1	-1	-1	325
AMD	Treiber	Pop	3	x	134	4275739863310	-1	-1	-1	333
AMD	Treiber	Pop	0	x	135	4275739864184	-1	-1	-1	354
AMD	Treiber	Pop	2	x	157	4275739864352	-1	-1	-1	338
AMD	Treiber	Pop	1	x	128	4275739864766	-1	-1	-1	331
AMD	Treiber	Pop	3	x	130	4275739865019	-1	-1	-1	339
AMD	Treiber	Pop	2	x	124	4275739865762	-1	-1	-1	344
AMD	Treiber	Pop	0	x	151	4275739866392	-1	-1	-1	360
AMD	Treiber	Pop	1	x	129	4275739866829	-1	-1	-1	337
AMD	Treiber	Pop	3	x	122	4275739867549	-1	-1	-1	345
AMD	Treiber	Pop	0	x	145	4275739867910	-1	-1	-1	366
AMD	Treiber	Pop	1	x	118	4275739868492	-1	-1	-1	343
AMD	Treiber	Pop	3	x	116	4275739869212	-1	-1	-1	351
AMD	Treiber	Pop	2	x	123	4275739869711	-1	-1	-1	350
AMD	Treiber	Pop	0	x	133	4275739870555	-1	-1	-1	372
AMD	Treiber	Pop	2	x	139	4275739871383	-1	-1	-1	356
AMD	Treiber	Pop	3	x	112	4275739871735	-1	-1	-1	357
AMD	Treiber	Pop	1	x	117	4275739872533	-1	-1	-1	349
AMD	Treiber	Pop	2	x	111	4275739873145	-1	-1	-1	362
AMD	Treiber	Pop	1	x	110	4275739873835	-1	-1	-1	355
AMD	Treiber	Pop	3	x	104	4275739874587	-1	-1	-1	363
AMD	Treiber	Pop	1	x	106	4275739875438	-1	-1	-1	361
AMD	Treiber	Pop	2	x	105	4275739875997	-1	-1	-1	368
AMD	Treiber	Pop	0	x	100	4275739876894	-1	-1	-1	378
AMD	Treiber	Pop	3	x	127	4275739877248	-1	-1	-1	369
AMD	Treiber	Pop	1	x	13	4275739878297	-1	-1	-1	367
AMD	Treiber	Pop	3	x	98	4275739879148	-1	-1	-1	375
AMD	Treiber	Pop	2	x	121	4275739879746	-1	-1	-1	374
AMD	Treiber	Pop	3	x	99	4275739880590	-1	-1	-1	381
AMD	Treiber	Pop	2	x	7	4275739881724	-1	-1	-1	380
AMD	Treiber	Pop	1	x	2	4275739883150	-1	-1	-1	373
AMD	Treiber	Pop	1	x	1	4275739884569	-1	-1	-1	379
AMD	Treiber	Push	5	x	6	4275739976760	-1	-1	4275739976760	5
AMD	Treiber	Push	4	x	5	4275739977420	-1	-1	4275739977420	4
AMD	Treiber	Push	5	x	12	4275739978839	-1	-1	4275739978839	11
AMD	Treiber	Push	4	x	11	4275739978977	-1	-1	4275739978977	10
AMD	Treiber	Push	5	x	18	4275739980532	-1	-1	4275739980532	17
AMD	Treiber	Push	4	x	17	4275739980633	-1	-1	4275739980633	16
AMD	Treiber	Push	5	x	24	4275739982089	-1	-1	4275739982089	23
AMD	Treiber	Push	4	x	23	4275739982349	-1	-1	4275739982349	22
AMD	Treiber	Push	5	x	30	4275739983614	-1	-1	4275739983614	29
AMD	Treiber	Push	4	x	29	4275739983814	-1	-1	4275739983814	28
AMD	Treiber	Push	5	x	36	4275739985164	-1	-1	4275739985164	35
AMD	Treiber	Push	4	x	35	4275739985523	-1	-1	4275739985523	34
AMD	Treiber	Push	5	x	42	4275739986682	-1	-1	4275739986682	41
AMD	Treiber	Push	4	x	41	4275739986988	-1	-1	4275739986988	40
AMD	Treiber	Push	5	x	48	4275739988138	-1	-1	4275739988138	47
AMD	Treiber	Push	4	x	47	4275740013898	-1	-1	4275740013898	46
AMD	Treiber	Push	5	x	54	4275740014687	-1	-1	4275740014687	53
AMD	Treiber	Push	4	x	53	4275740015377	-1	-1	4275740015377	52
AMD	Treiber	Push	5	x	60	4275740016037	-1	-1	4275740016037	59
AMD	Treiber	Push	4	x	59	4275740016766	-1	-1	4275740016766	58
AMD	Treiber	Push	5	x	66	4275740017470	-1	-1	4275740017470	65
AMD	Treiber	Push	4	x	65	4275740018192	-1	-1	4275740018192	64
AMD	Treiber	Push	5	x	72	4275740018866	-1	-1	4275740018866	71
AMD	Treiber	Push	4	x	71	4275740019586	-1	-1	4275740019586	70
AMD	Treiber	Push	5	x	78	4275740020262	-1	-1	4275740020262	77
AMD	Treiber	Push	4	x	77	4275740020975	-1	-1	4275740020975	76
AMD	Treiber	Push	5	x	84	4275740021610	-1	-1	4275740021610	83
AMD	Treiber	Push	4	x	83	4275740022369	-1	-1	4275740022369	82
AMD	Treiber	Push	5	x	90	4275740022976	-1	-1	4275740022976	89
AMD	Treiber	Push	4	x	89	4275740023742	-1	-1	4275740023742	88
AMD	Treiber	Push	5	x	96	4275740024324	-1	-1	4275740024324	95
AMD	Treiber	Push	4	x	95	4275740025191	-1	-1	4275740025191	94
AMD	Treiber	Pop	5	x	95	4275740025819	-1	-1	-1	101
AMD	Treiber	Pop	4	x	96	4275740026624	-1	-1	-1	100
AMD	Treiber	Pop	5	x	89	4275740027491	-1	-1	-1	107
AMD	Treiber	Pop	4	x	90	4275740028303	-1	-1	-1	106
AMD	Treiber	Pop	5	x	83	4275740029016	-1	-1	-1	113
AMD	Treiber	Pop	4	x	84	4275740029853	-1	-1	-1	112
AMD	Treiber	Pop	5	x	77	4275740030465	-1	-1	-1	119
AMD	Treiber	Pop	4	x	78	4275740031256	-1	-1	-1	118
AMD	Treiber	Pop	5	x	71	4275740031930	-1	-1	-1	125
AMD	Treiber	Pop	4	x	72	4275740032604	-1	-1	-1	124
AMD	Treiber	Pop	5	x	65	4275740033303	-1	-1	-1	131
AMD	Treiber	Pop	4	x	66	4275740034000	-1	-1	-1	130
AMD	Treiber	Pop	5	x	59	4275740034674	-1	-1	-1	137
AMD	Treiber	Pop	4	x	60	4275740035403	-1	-1	-1	136
AMD	Treiber	Pop	5	x	53	4275740035985	-1	-1	-1	143
AMD	Treiber	Pop	4	x	54	4275740036753	-1	-1	-1	142
AMD	Treiber	Pop	5	x	47	4275740037404	-1	-1	-1	149
AMD	Treiber	Pop	4	x	48	4275740038101	-1	-1	-1	148
AMD	Treiber	Pop	5	x	41	4275740038846	-1	-1	-1	155
AMD	Treiber	Pop	4	x	42	4275740039444	-1	-1	-1	154
AMD	Treiber	Pop	5	x	35	4275740040263	-1	-1	-1	161
AMD	Treiber	Pop	4	x	36	4275740040762	-1	-1	-1	160
AMD	Treiber	Pop	5	x	29	4275740041735	-1	-1	-1	167
AMD	Treiber	Pop	4	x	30	4275740042126	-1	-1	-1	166
AMD	Treiber	Pop	5	x	23	4275740043177	-1	-1	-1	173
AMD	Treiber	Pop	4	x	24	4275740043499	-1	-1	-1	172
AMD	Treiber	Pop	5	x	17	4275740044596	-1	-1	-1	179
AMD	Treiber	Pop	4	x	18	4275740044909	-1	-1	-1	178
AMD	Treiber	Pop	5	x	11	4275740045999	-1	-1	-1	185
AMD	Treiber	Pop	4	x	12	4275740046275	-1	-1	-1	184
AMD	Treiber	Pop	5	x	5	4275740047416	-1	-1	-1	191
AMD	Treiber	Pop	4	x	6	4275740047731	-1	-1	-1	190
AMD	Treiber	Push	5	x	102	4275740048957	-1	-1	4275740048957	197
AMD	Treiber	Push	4	x	101	4275740049203	-1	-1	4275740049203	196
AMD	Treiber	Push	5	x	108	4275740050583	-1	-1	4275740050583	203
AMD	Treiber	Push	4	x	107	4275740051142	-1	-1	4275740051142	202
AMD	Treiber	Push	5	x	114	4275740052048	-1	-1	4275740052048	209
AMD	Treiber	Push	4	x	113	4275740052515	-1	-1	4275740052515	208
AMD	Treiber	Push	5	x	120	4275740053511	-1	-1	4275740053511	215
AMD	Treiber	Push	4	x	119	4275740053888	-1	-1	4275740053888	214
AMD	Treiber	Push	5	x	126	4275740055098	-1	-1	4275740055098	221
AMD	Treiber	Push	4	x	125	4275740055282	-1	-1	4275740055282	220
AMD	Treiber	Push	5	x	132	4275740056540	-1	-1	4275740056540	227
AMD	Treiber	Push	4	x	131	4275740057076	-1	-1	4275740057076	226
AMD	Treiber	Push	5	x	138	4275740057996	-1	-1	4275740057996	233
AMD	Treiber	Push	4	x	137	4275740058495	-1	-1	4275740058495	232
AMD	Treiber	Push	5	x	144	4275740059454	-1	-1	4275740059454	239
AMD	Treiber	Push	4	x	143	4275740059914	-1	-1	4275740059914	238
AMD	Treiber	Push	5	x	150	4275740060802	-1	-1	4275740060802	245
AMD	Treiber	Push	4	x	149	4275740061317	-1	-1	4275740061317	244
AMD	Treiber	Push	5	x	156	4275740062205	-1	-1	4275740062205	251
AMD	Treiber	Push	4	x	155	4275740062773	-1	-1	4275740062773	250
AMD	Treiber	Push	5	x	162	4275740063670	-1	-1	4275740063670	257
AMD	Treiber	Push	4	x	161	4275740064146	-1	-1	4275740064146	256
AMD	Treiber	Push	5	x	168	4275740065126	-1	-1	4275740065126	263
AMD	Treiber	Push	4	x	167	4275740065526	-1	-1	4275740065526	262
AMD	Treiber	Push	5	x	174	4275740066522	-1	-1	4275740066522	269
